x,y

19900,0
20000,1
20100,1
20200,1
20300,1
20400,1
20500,1
20600,1
20700,1
20800,1
20900,1
21000,1
21100,1
21200,1
21300,1
21400,1
21500,1
21600,1
21700,1
21800,1
21900,1
22000,1
22100,1
22200,1
22300,1
22400,1
22500,1
22600,1
22700,1
22800,1
22900,1
23000,1
23100,1
23200,1
23300,1
23400,1
23500,1
23600,1
23700,1
23800,1
23900,1
24000,1
24100,1
24200,2
24300,2
24400,2
24500,2
24600,2
24700,2
24800,2
24900,2
25000,2
25100,2
25200,2
25300,2
25400,2
25500,2
25600,2
25700,2
25800,2
25900,2
26000,2
26100,2
26200,2
26300,3
26400,3
26500,3
26600,3
26700,3
26800,3
26900,3
27000,3
27100,3
27200,3
27300,3
27400,3
27500,3
27600,3
27700,3
27800,3
27900,4
28000,4
28100,4
28200,4
28300,4
28400,4
28500,4
28600,4
28700,4
28800,4
28900,4
29000,4
29100,4
29200,5
29300,5
29400,5
29500,5
29600,5
29700,5
29800,5
29900,5
30000,5
30100,5
30200,5
30300,6
30400,6
30500,6
30600,6
30700,6
30800,6
30900,6
31000,6
31100,6
31200,6
31300,7
31400,7
31500,7
31600,7
31700,7
31800,7
31900,7
32000,7
32100,7
32200,7
32300,8
32400,8
32500,8
32600,8
32700,8
32800,8
32900,8
33000,8
33100,8
33200,9
33300,9
33400,9
33500,9
33600,9
33700,9
33800,9
33900,9
34000,9
34100,10
34200,10
34300,10
34400,10
34500,10
34600,10
34700,10
34800,10
34900,11
35000,11
35100,11
35200,11
35300,11
35400,11
35500,11
35600,11
35700,12
35800,12
35900,12
36000,12
36100,12
36200,12
36300,12
36400,12
36500,13
36600,13
36700,13
36800,13
36900,13
37000,13
37100,13
37200,13
37300,14
37400,14
37500,14
37600,14
37700,14
37800,14
37900,14
38000,15
38100,15
38200,15
38300,15
38400,15
38500,15
38600,15
38700,15
38800,16
38900,16
39000,16
39100,16
39200,16
39300,16
39400,16
39500,17
39600,17
39700,17
39800,17
39900,17
40000,17
40100,17
40200,18
40300,18
40400,18
40500,18
40600,18
40700,18
40800,18
40900,19
41000,19
41100,19
41200,19
41300,19
41400,19
41500,20
